internalTaxonId,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,taxonomicNotes
11068,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Kyidris,media,,,,"Wilson &amp; Brown, 1956",
11069,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Kyidris,yaleogyna,,,,"Wilson &amp; Brown, 1956",
11356,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Lasius,reginae,,,,"Faber, 1967",
11759,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,buschingeri,,,,"Kutter, 1967",
11761,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,faberi,,,,"Buschlinger, 1983",
11762,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,duloticus,,,,"Wesson, 1937",
11763,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,minutissimus,,,,"Smith, 1942",
12759,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Manica,parasitica,,,,"Creigthon, 1934",
1285,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Anergates,atratulus,,,,"(Schenck, 1852)",
1290,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Aneuretus,simoni,,,,"Emery, 1893",
12979,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Megalomyrmex,symmetochus,,,,"Wheeler, 1925",
135295,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,franklini,,,,"(Frison, 1921)",<br>
13711,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,hospitum,,,,"Viehmeyer, 1916",
13712,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,inquilinum,,,,"DuBois, 1981",
13713,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,talbotae,,,,"DuBois, 1981",
13714,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,pergandei,,,,"(Emery, 1893)",
13715,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,santschii,,,,"(Forel, 1905)",
13716,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,effractor,,,,"Bolton, 1987",
14216,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmecia,inquilina,,,,"Douglas &amp; Brown, 1959",
14225,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmoxenus,gordiagini,,,,"Ruzsky, 1902",
14228,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,bibikoffi,,,,"Kutter, 1963",
14230,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,ereptrix,,,,"Bolton, 1988",
14231,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,faniensis,,,,"Boven, 1970",
14232,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,hirsuta,,,,"Elmes, 1978",
14233,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,lampra,,,,"Francoeur, 1968",
14234,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,lemasnei,,,,"Bernard, 1967",
14235,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,myrmicoxena,,,,"Forel, 1895",
14236,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,quebecensis,,,,"Francoeur, 1981",
14237,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,samnitica,,,,"Mei, 1987",
14238,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,colax,,,,"(Cole, 1957)",
14239,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,kabylica,,,,"(Cagniant, 1970)",
14240,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,laurae,,,,"(Emery, 1907)",
14241,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,winterae,,,,"(Kutter, 1973)",
14242,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Myrmica,symbiotica,,,,"(Menozzi, 1925)",
14849,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Nothomyrmecia,macrops,,,,"Clark, 1934",
1560,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Anoplolepis,nuptialis,,,,"(Santschi, 1917)",
15773,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Oxyepoecus,bruchi,,,,"Santschi, 1926",
15774,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Oxyepoecus,daguerrei,,,,"(Santschi, 1933)",
15775,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Oxyepoecus,inquilinus,,,,"(Kusnezov, 1952)",
1675,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Antichthonidris,bidentatus,,,,"(Mayr, 1887)",
16906,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,acutidens,,,,"(Santschi, 1922)",
16908,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,symbiotica,,,,"Wasmann, 1909",
16902,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,lanuginosa,,,,"Wilson, 1984",
16909,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,argentina,,,,"(Brunch, 1932)",
16903,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,microgyna,,,,"Wheeler, 1928",
16910,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,elecebra,,,,"(Wheeler, 1904)",
16904,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,parasitica,,,,"Wilson, 1984",
16905,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,neokohli,,,,"Wilson, 1984",
16907,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,inquilina,,,,"(Wheeler, 1903)",
17464,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Plagiolepis,grassei,,,,"Le Masne, 1956",
17465,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Plagiolepis,ampeloni,,,,"(Faber, 1969)",
17466,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Plagiolepis,regis,,,,"Karavaiev, 1931",
17880,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pogonomyrmex,anergismus,,,,"Cole, 1954",
17881,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pogonomyrmex,colei,,,,"Snelling, 1982",
17927,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Polyergus,breviceps,,,,"(Emery, 1893)",
17928,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Polyergus,lucidus,,,,"Mayr, 1870",
17929,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Polyergus,nigerrimus,,,,"Marikovsky, 1963",
17930,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Polyergus,samurai,,,,"(Yano, 1911)",
1831,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Aphaenogaster,bidentatus,,,,,
18379,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Protomognathus,americanus,,,,"(Emery, 1895)",
18470,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pseudoatta,argentina,,,,"Gallardo, 1916",
18548,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pseudomyrmex,leptosus,,,,"Ward, 1985",
19692,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Rhoptromyrmex,mayri,,,,"(Emery, 1883)",
19693,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Rhoptromyrmex,schmitzi,,,,"(Forel, 1910)",
20161,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Serrastruma,inquilina,,,,"Bolton, 1983",
20324,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Solenopsis,daguerrei,,,,"Santschi, 1930","<i>S. acuminata</i> was in the 1996, 2000 and 2002 IUCN Red Lists. Now confirmed that it is a synonym of <i>S. daguerrei</i>."
20325,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Solenopsis,solenopsidis,,,,"(Kusnezov, 1953)",
20914,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,afer,,,,"Emery, 1884",
20915,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,alboini,,,,"(Finzi, 1924)",
20916,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,alpinus,,,,"(Wheeler, 1909)",
20917,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,arnoldii,,,,"Radchenko, 1985",
20919,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,cecconii,,,,"(Emery, 1916)",
20920,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,chelifer,,,,"Radchenko, 1985",
20921,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,christophi,,,,"Emery, 1889",
20922,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,dalmaticus,,,,"Baroni Urbani, 1969",
20923,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,destefanii,,,,"Emery, 1915",
20924,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,emeryi,,,,"Menozzi, 1921",
20925,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,foreli,,,,"(Emery, 1922)",
20926,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,huberi,,,,"Forel, 1874",
20927,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,insularis,,,,"Baroni Urbani, 1968",
20928,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,italicus,,,,"(Finzi, 1924)",
20929,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,karawajevi,,,,"Pisarski, 1966",
20930,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,kervillei,,,,"Santschi, 1921",
20931,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,koreanus,,,,"Pisarski, 1966",
20932,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,kratochvilli,,,,"Silhavy, 1937",
20933,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,minutus,,,,"Radchenko, 1991",
20934,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,palaestinensis,,,,"Menozzi, 1933",
20935,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,pisarskii,,,,"Poldi, 1994",
20936,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,rehbinderi,,,,"(Forel, 1904)",
20937,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,ruzskyi,,,,"(Emery, 1909)",
20938,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,silvestrii,,,,"Menozzi, 1936",
20941,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strumigenys,xenos,,,,"Brown, 1955",
21310,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,SPHECIDAE,Tachysphex,pechumani,,,,"Krombein, 1938",
21569,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Teleutomyrmex,schneideri,,,,"Klutter, 1950",
21570,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Teleutomyrmex,kutteri,,,,"Tinaut, 1990",
21667,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Tetramorium,microgyna,,,,"Santschi, 1918",
21668,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Tetramorium,parasiticum,,,,"Bolton, 1980",
3718,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Camponotus,universitatis,,,,"Forel, 1890",
3857,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Cardiocondyla,zoserka,,,,"Bolton, 1982",
4014,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Cataglyphis,hannae,,,,"Agosti, 1994",
40729,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Acanthomyops,murphii,,,,"(Forel, 1901)",
40730,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,adlerzi,,,,"Douwes, Jessen &amp; Buschinger, 1988",
40731,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Harpgoxenus,zaisanicus,,,,"Pisarski, 1963",
40732,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,noualhieri,,,,"(Emery, 1895)",
40733,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,oculata,,,,"(Emery, 1899)",Orthographic error in specific name in the 1996 Red List (was in as '<i>oculta</i>'). Generic name <i>Parapheidole</i> is a synonym of <i>Pheidole</i>.
40734,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Rossomyrmex,minuchae,,,,"Tinaut, 1981",
40735,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,caeciliae,,,,"Forel, 1897",
41982,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Dorymyrmex,insanus,,,,"Buckley, 1866","Both<i> Conomyrma medeis</i> and <i>Conomyrma reginicula</i> were in the 1996, 2000 and 2002 Red Lists: Both are synonyms of <i>D. insanus</i>.
<br>Other Synonym = <i>Conomyrma</i> (<i>Biconomyrma</i>) <i>wheeleri</i>."
41983,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Crematogaster,pilosa,,,,"Emery, 1895",
41984,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,pratensis,,,,"Retzius, 1783","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
41985,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,recedens,,,,"Nylander, 1856",
4406,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tarbinskii,,,,"(Arnol'di, in Tarbinsky, 1976)",
4408,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tramieri,,,,"Cagniant, 1983",
4402,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,brunneus,,,,"Cagniant, 1985",
4409,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,zabelini,,,,"Radchenko, 1989",
4403,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,muellerianus,,,,"(Finzi, 1922)",
4404,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,kutteri,,,,"Cagniant, 1973",
4405,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,spinosus,,,,"(Arnol'di, 1968)",
4407,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tauricus,,,,"Radchenko, 1989",
5510,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Crematogaster,atilanica,,,,"Wheeler, 1936",
63382,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Rossomyrmex,proformicarum,,,,"Arnol'di, 1928",
6808,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Doronomyrmex,goesswaldi,,,,"(Kutter, 1967)",
6809,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Doronomyrmex,kutteri,,,,"(Buschinger, 1966)",
6810,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Doronomyrmex,pacis,,,,"Kutter, 1945",
6811,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Doronomyrmex,pocahontas,,,,"Buschinger, 1979",
7844,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,ravouxi,,,,"(André, 1896)",
7845,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,africana,,,,"Bernard, 1948",
7846,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,algeriana,,,,"Cagniant, 1968",
7847,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,bernardi,,,,"Espadaler, 1982",
7848,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,corsica,,,,"(Emery, 1895)",
7849,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,goridaghini,,,,"(Ruzsky, 1902)",
7850,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,kraussei,,,,"Emery, 1915",
7851,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,stumperi,,,,"Kutter, 1950",
7852,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,tamarae,,,,"Arnol'di, 1968",
7853,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,zaleskyi,,,,"Sadil, 1953",
8642,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,aquilonia,,,,"Yarrow, 1955","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
8643,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,lugubris,,,,"Zetterstedt, 1838","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
8644,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,polyctena,,,,"Foerster, 1850","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
8645,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,rufa,,,,"Linneaus, 1761","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
8647,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,uralensis,,,,"Ruzsky, 1895","The Red Wood Ants include species from the <em>Formica rufa</em> group in Eurasia (including <em>F. aquilonia</em>, <em>F. lugubris</em>, <em>F. polyctena</em>, <em>F. pratensis</em>, <em>F. rufa</em>, and <em>F. uralensis</em>) (D. Agosti pers. comm. 1995)."
8649,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,dirksi,,,,"Wing, 1949",
8650,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,talbotae,,,,"Wilson, 1977",
8656,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formicoxenus,nitidulus,,,,"(Nylander, 1846)",
8657,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formicoxenus,sibiricus,,,,"(Forel, 1899)",
8658,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formicoxenus,provancheri,,,,"(Emery, 1895)",
8659,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formicoxenus,quebecensis,,,,"Francoeur, in Francoeur, Loiselle &amp; Buschinger, 1985",
8660,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formicoxenus,chamberlini,,,,"(Wheeler, 1904)",
9731,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Harpagoxenus,canadensis,,,,"Smith, 1939",
9732,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Harpagoxenus,sublaevis,,,,"Nylander, 1849",
522,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Adetomyrma,venatrix,,,,"Ward, 1994",
83,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Acanthomyops,latipes,,,,"(Walsh, 1863)",
13304723,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,creticus,,,,"Noskiewicz, 1936",
13304833,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,cyprius,,,,"Noskiewicz, 1936",
13305371,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,dimidiatus,,,,"Brullé, 1840",
13305403,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,dinizi,,,,"Kuhlmann, Ortiz &amp; Ornosa, 2001",
13306686,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,halophilus,,,,"Verhoeff, 1944",
13306742,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,hederae,,,,"Schmidt &amp; Westrich, 1993",
13307133,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,merceti,,,,"Noskiewicz, 1936",
13307158,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,moricei,,,,"Saunders, 1904",
13307394,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,pulchellus,,,,"Pérez, 1903",
13307633,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,schmidi,,,,"Noskiewicz, 1962",
13307696,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,sierrensis,,,,"Frey-Gessner, 1901",
13307748,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,standfussi,,,,"Kuhlmann, 2003",
13308901,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,tardus,,,,"Noskiewicz, 1936","The taxonomic status of <em>C. tardus </em>is uncertain. The species has only been found in the Ukraine and is only known from old records from 1929. However, no specimens have been found in museum collections that could help to clarify the situation."
13309155,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,tuberculiger,,,,"Noskiewicz, 1936",
13309203,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,COLLETIDAE,Colletes,wolfi,,,,"Kuhlmann, 1999",
13310581,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Camptopoeum,nasutum,,,,"(Spinola, 1838)",
13311381,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,flavus,,,,"(Friese, 1897)",
13311391,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,fuzetus,,,,"Patiny, 1999",
13311403,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,granadensis,,,,"(Warncke, 1987)",
13311592,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,ibericus,,,,"(Warncke, 1972)",
13311682,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,merceti,,,,"(Vachal, 1910)",
13311712,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Flavipanurgus,venustus,,,,"(Erichson, 1835)",
13317747,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Panurginus,alpinus,,,,"(Warncke, 1972)",
13317751,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,ANDRENIDAE,Panurginus,annulatus,,,,"(Sichel, 1859)",
